sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03433-A-20240509	e03433-A-20240509	1	e03433-A_S90_L001_R1_001.fastq.gz	e03433-A_S90_L001_R2_001.fastq.gz	1283	1283	1247	1247	15	15	2	2	1
e03433-B-20240509	e03433-B-20240509	1	e03433-B_S186_L001_R1_001.fastq.gz	e03433-B_S186_L001_R2_001.fastq.gz	4	4	3	3	2	2	0	0	0
e03433-C-20240509	e03433-C-20240509	1	e03433-C_S282_L001_R1_001.fastq.gz	e03433-C_S282_L001_R2_001.fastq.gz	25	25	25	25	23	23	0	0	0
e03434-A-20240509	e03434-A-20240509	1	e03434-A_S91_L001_R1_001.fastq.gz	e03434-A_S91_L001_R2_001.fastq.gz	21098	21098	20760	20760	20552	20552	19624	19398	19397
e03434-B-20240509	e03434-B-20240509	1	e03434-B_S187_L001_R1_001.fastq.gz	e03434-B_S187_L001_R2_001.fastq.gz	24493	24493	24145	24145	24013	24013	22956	22817	22817
e03434-C-20240509	e03434-C-20240509	1	e03434-C_S283_L001_R1_001.fastq.gz	e03434-C_S283_L001_R2_001.fastq.gz	25441	25441	25096	25096	22182	22182	21462	21414	21414
e03435-A-20240509	e03435-A-20240509	1	e03435-A_S92_L001_R1_001.fastq.gz	e03435-A_S92_L001_R2_001.fastq.gz	22731	22731	22419	22419	22294	22294	21210	21210	21210
e03435-B-20240509	e03435-B-20240509	1	e03435-B_S188_L001_R1_001.fastq.gz	e03435-B_S188_L001_R2_001.fastq.gz	6071	6071	5977	5977	5827	5827	32	32	32
e03435-C-20240509	e03435-C-20240509	1	e03435-C_S284_L001_R1_001.fastq.gz	e03435-C_S284_L001_R2_001.fastq.gz	26003	26003	25659	25659	24114	24114	22744	22652	22652
e03436-A-20240509	e03436-A-20240509	1	e03436-A_S93_L001_R1_001.fastq.gz	e03436-A_S93_L001_R2_001.fastq.gz	25074	25074	24738	24738	22647	22647	21403	21367	21367
e03436-B-20240509	e03436-B-20240509	1	e03436-B_S189_L001_R1_001.fastq.gz	e03436-B_S189_L001_R2_001.fastq.gz	18568	18568	18277	18277	18191	18191	15520	15514	15514
e03436-C-20240509	e03436-C-20240509	1	e03436-C_S285_L001_R1_001.fastq.gz	e03436-C_S285_L001_R2_001.fastq.gz	4255	4255	4208	4208	4135	4135	9	9	9
e03437-A-20240509	e03437-A-20240509	1	e03437-A_S94_L001_R1_001.fastq.gz	e03437-A_S94_L001_R2_001.fastq.gz	16945	16945	16746	16746	16184	16184	13109	12944	12944
e03437-B-20240509	e03437-B-20240509	1	e03437-B_S190_L001_R1_001.fastq.gz	e03437-B_S190_L001_R2_001.fastq.gz	7810	7810	7685	7685	7568	7568	3	3	3
e03437-C-20240509	e03437-C-20240509	1	e03437-C_S286_L001_R1_001.fastq.gz	e03437-C_S286_L001_R2_001.fastq.gz	5330	5330	5258	5258	5175	5175	0	0	0
e03438-A-20240509	e03438-A-20240509	1	e03438-A_S95_L001_R1_001.fastq.gz	e03438-A_S95_L001_R2_001.fastq.gz	66	66	62	62	52	52	39	39	39
e03438-B-20240509	e03438-B-20240509	1	e03438-B_S191_L001_R1_001.fastq.gz	e03438-B_S191_L001_R2_001.fastq.gz	11589	11589	11396	11396	5562	5562	3	3	3
e03438-C-20240509	e03438-C-20240509	1	e03438-C_S287_L001_R1_001.fastq.gz	e03438-C_S287_L001_R2_001.fastq.gz	7050	7050	6900	6900	6548	6548	6	6	6
e03439-D-20240509	e03439-D-20240509	1	e03439-D_S289_L001_R1_001.fastq.gz	e03439-D_S289_L001_R2_001.fastq.gz	30808	30808	30412	30412	30222	30222	25888	25864	25864
e03439-E-20240509	e03439-E-20240509	1	e03439-E_S372_L001_R1_001.fastq.gz	e03439-E_S372_L001_R2_001.fastq.gz	22516	22516	22224	22224	21953	21953	16742	16742	16742
e03439-F-20240509	e03439-F-20240509	1	e03439-F_S455_L001_R1_001.fastq.gz	e03439-F_S455_L001_R2_001.fastq.gz	6521	6521	6445	6445	6386	6386	5640	5629	5629
e03440-D-20240509	e03440-D-20240509	1	e03440-D_S290_L001_R1_001.fastq.gz	e03440-D_S290_L001_R2_001.fastq.gz	28973	28973	28557	28557	28456	28456	27929	27929	27929
e03440-E-20240509	e03440-E-20240509	1	e03440-E_S373_L001_R1_001.fastq.gz	e03440-E_S373_L001_R2_001.fastq.gz	6180	6180	6115	6115	5922	5922	147	147	147
e03440-F-20240509	e03440-F-20240509	1	e03440-F_S456_L001_R1_001.fastq.gz	e03440-F_S456_L001_R2_001.fastq.gz	14305	14305	14085	14085	13833	13833	12193	12193	12193
e03441-D-20240509	e03441-D-20240509	1	e03441-D_S291_L001_R1_001.fastq.gz	e03441-D_S291_L001_R2_001.fastq.gz	30010	30010	29619	29619	29416	29416	27873	27795	27795
e03441-E-20240509	e03441-E-20240509	1	e03441-E_S374_L001_R1_001.fastq.gz	e03441-E_S374_L001_R2_001.fastq.gz	25770	25770	25443	25443	25208	25208	21149	20933	20933
e03441-F-20240509	e03441-F-20240509	1	e03441-F_S457_L001_R1_001.fastq.gz	e03441-F_S457_L001_R2_001.fastq.gz	19662	19662	19394	19394	19035	19035	14246	14246	14246
e03442-D-20240509	e03442-D-20240509	1	e03442-D_S292_L001_R1_001.fastq.gz	e03442-D_S292_L001_R2_001.fastq.gz	22407	22407	22121	22121	21937	21937	17409	17405	17405
e03442-E-20240509	e03442-E-20240509	1	e03442-E_S375_L001_R1_001.fastq.gz	e03442-E_S375_L001_R2_001.fastq.gz	24785	24785	24430	24430	24096	24096	13027	12834	12834
