"","site","ID","lon","lat","bdepth","slope","aspectE","aspectN","curve","btemp","bcurrentU","bcurrentV","bcurrentUSD","bcurrentVSD","tmax","phi","BPI","sponge","bottomtemp_2023","surfacetemp_2023"
"1","2_10",1,-825172.25,1205821.375,37.511360168457,0.0216779913753271,-0.976660490036011,-0.141937747597694,6.35105825494975e-05,2.05932259559631,0.00110174098517746,-0.000126012499094941,0.00915600638836622,0.00912423059344292,39.479549407959,3.3329393863678,0,0,0.974493503570557,3.27650618553162
"2","3_10",2,-878172.25,1218821.375,46.016429901123,0.0432751178741455,0.2708560526371,0.960823357105255,2.47752632276388e-05,0.585296928882599,0.00139462796505541,0.000588051334489137,0.00490901246666908,0.0054610320366919,36.3672142028809,4.47331237792969,0,0,-0.982267677783966,4.24841451644897
"3","4_10",3,-935172.25,1232821.375,66.7223968505859,0.168654933571815,-0.655079782009125,-0.64777272939682,-0.000351998402038589,-0.212116882205009,0.000887954025529325,0.000658529694192111,0.00501232594251633,0.00589109444990754,32.9309310913086,5.22037220001221,-6.68931865692139,0,-1.40075874328613,6.16796875
"4","4_60",4,-935172.25,1232821.375,66.7223968505859,0.168654933571815,-0.655079782009125,-0.64777272939682,-0.000351998402038589,-0.212116882205009,0.000887954025529325,0.000658529694192111,0.00501232594251633,0.00589109444990754,32.9309310913086,5.22037220001221,-6.68931865692139,0,-1.40075874328613,6.16796875
"5","5_10",5,-920172.25,1285821.375,62.057689666748,0.0260218996554613,0.527192056179047,-0.846901714801788,-5.6725741160335e-05,-0.164317071437836,0.00023883135872893,-0.000452690524980426,0.00368616823107004,0.00418999930843711,29.8647880554199,5.37855768203735,0,0,-1.22722446918488,6.74615573883057
"6","5_50",6,-920172.25,1285821.375,62.057689666748,0.0260218996554613,0.527192056179047,-0.846901714801788,-5.6725741160335e-05,-0.164317071437836,0.00023883135872893,-0.000452690524980426,0.00368616823107004,0.00418999930843711,29.8647880554199,5.37855768203735,0,0,-1.22722446918488,6.74615573883057
"7","6_10",7,-868172.25,1273821.375,48.7118148803711,0.0670422315597534,0.18933479487896,-0.980927228927612,-0.000293843186227605,0.724058032035828,-0.000945444277022034,-0.000802502851001918,0.00566851207986474,0.00449258787557483,32.2973213195801,4.20233201980591,0,0,-0.0390616357326508,6.38291120529175
"8","7_10",8,-815172.25,1259821.375,34.5537872314453,0.0302068945020437,-0.910379648208618,-0.403606235980988,-6.62498277961276e-05,3.51714539527893,-0.00400327472016215,-0.000439595023635775,0.00595653196796775,0.00762194767594337,37.8143157958984,3.64502191543579,0,0,2.82849955558777,4.84838056564331
"9","8_10",9,-762172.25,1248821.375,27.1287860870361,0.0251001957803965,-0.916705071926117,-0.376955419778824,-1.89094625966391e-05,6.41903162002563,-0.0158280227333307,0.00369530566968024,0.00295942020602524,0.00281183538027108,47.2482872009277,3.6728093624115,0,0,6.24222660064697,6.13706684112549
"10","9_10",10,-709172.25,1237821.375,28.2380199432373,0.0255401190370321,0.869903385639191,-0.489646047353745,6.26445898888051e-06,7.2866039276123,0.0380702875554562,-0.0397835113108158,0.00275659561157227,0.00200739107094705,49.8376235961914,2.83319211006165,0,0,7.28006744384766,7.32668924331665
